title,artist,rank,Cluster,Cluster_Name,track_id
CN Tower,PARTYNEXTDOOR & Drake,60,8,Trending 100 Songs,4u43I0LP2Xf85OAS85eG0R
Somebody Loves Me,PARTYNEXTDOOR & Drake,61,8,Trending 100 Songs,2kZoOj1n5vk9BuF0sih58M
Bad Dreams,Teddy Swims,62,8,Trending 100 Songs,3nHuKdFJZm78CoeBnDcFKe
Good News,Shaboozey,63,8,Trending 100 Songs,54p6vNJwGkt4FTaM8SCsxt
bloodonmyhands,Tate McRae Featuring Flo Milli,64,8,Trending 100 Songs,0DA8aZZvG73AijDYT00ki1
I Ain't Sayin',Jordan Davis,65,8,Trending 100 Songs,7lCs3stpWCtAn5Y2lmnPhV
Loco,Neton Vega,66,8,Trending 100 Songs,63EQbNhgaih4yg5412usWG
Mutt,Leon Thomas,67,8,Trending 100 Songs,2uvE4L5ZsYKpv8hbK4TIOt
Nuevayol,Bad Bunny,68,8,Trending 100 Songs,5TFD2bmFKGhoCRbX61nXY5
cLOUDs,J. Cole,69,8,Trending 100 Songs,53WWD2BBC6Jcip8wy5CniE
Fat Juicy & Wet,Sexyy Red & Bruno Mars,70,8,Trending 100 Songs,5M2lX0ZAYSAzCs1xPPi9BX
Ordinary,Alex Warren,71,8,Trending 100 Songs,6qqrTXSdwiJaq8SO0X2lSe
Something About You,PARTYNEXTDOOR & Drake,72,8,Trending 100 Songs,1F6nHHDJyTHLgDDFj1ZZDt
Like Him,"Tyler, The Creator Featuring Lola Young",73,8,Trending 100 Songs,078C2jXg7XsMgW78Gfx1JA
Signs,Tate McRae,74,8,Trending 100 Songs,6DDEfqOoLlasIbPdzboOu4
ExtraL,JENNIE & Doechii,75,8,Trending 100 Songs,7AKwWqnoMmvCqBQtcdIECG
2 Hands,Tate McRae,76,8,Trending 100 Songs,0B7tnohfi83RQquo2JRHrL
4x4xU,Lainey Wilson,77,8,Trending 100 Songs,2j9KCM9zinVUoGLaJrEP2N
Deeper,PARTYNEXTDOOR,78,8,Trending 100 Songs,4JeD0FGslDsMeeahEGZa2L
Am I Okay?,Megan Moroney,79,8,Trending 100 Songs,36wAwEkSDpNQ4oQeRLYC3L
Heart Of A Woman,Summer Walker,80,8,Trending 100 Songs,2oVVaVY0LkzwAYYcyzon6Z
Me Jalo,Fuerza Regida & Grupo Frontera,81,8,Trending 100 Songs,3D24ErT1MMmUfXWotSj2A2
Headlock,Imogen Heap,82,8,Trending 100 Songs,63Pi2NAx5yCgeLhCTOrEou
LV Bag,"Don Toliver, j-hope, Pharrell Williams & Speedy",83,8,Trending 100 Songs,1MhXchY126AX5Iuv4Odbe8
Voy A Llevarte Pa PR,Bad Bunny,84,8,Trending 100 Songs,59D4DOkspUbWyMmbAPQkxZ
Por Esos Ojos,Fuerza Regida,85,8,Trending 100 Songs,5jHozZMWbrExAFni95mvvH
Moth Balls,PARTYNEXTDOOR & Drake,86,8,Trending 100 Songs,7DL2F2bueQycqYjqsjHYjG
Raining In Houston,Drake,87,8,Trending 100 Songs,2xxb5zW09uwbgyLprALi9E
The Largest,BigXthaPlug,88,8,Trending 100 Songs,1F5Qp0SJS0QUfqIoQggrLz
Little Things,Ella Mai,89,8,Trending 100 Songs,2HA4tNLIXY1dGvDVCLeslk
Like I Do,Tate McRae,90,8,Trending 100 Songs,6jp9WjJtKF0Fgks0Y9Kkni
Spider-Man Superman,PARTYNEXTDOOR & Drake,91,8,Trending 100 Songs,4GqhG9rDuRUoNyDSMJ0Brq
EOO,Bad Bunny,92,8,Trending 100 Songs,6J5kc12BW5HuP3d7C3vvx8
Backseat Driver,Kane Brown,93,8,Trending 100 Songs,68SYsp6XfIEnlDYMgMyxUv
Pimmie's Dilemma,"Pimmie, PARTYNEXTDOOR & Drake",94,8,Trending 100 Songs,3CY3zAjrxKVInh2Lq1QiRb
Hey Now,Kendrick Lamar Featuring Dody6,95,8,Trending 100 Songs,5S8VwnB4sLi6W0lYTWYylu
No Pole,Don Toliver,96,8,Trending 100 Songs,0eaVIYo2zeOaGJeqZ5TwYz
Small Town Fame,Drake,97,8,Trending 100 Songs,1YHQQFtKqFSFrqL4cNvstU
Que Pasaria...,Rauw Alejandro & Bad Bunny,98,8,Trending 100 Songs,0l0vcZMU7AOeQmUIREoI2U
Greenlight,Tate McRae,99,8,Trending 100 Songs,56LQyaXsYWQZ2b7OPLAKEO
Weren't For The Wind,Ella Langley,100,8,Trending 100 Songs,2A22iI0x4EYAVXNpKPhNEM
